timeStep pedestrianId speedInAreaUsingAgentVelocity-PID6 sk-PID7 kNearestNeighbors-PID7
2 13 0.0 4.45316140544909 -0.051760473042964605 0.8637327810235229 2.6975420229818674 0.517763204675691 3.732919584909741 0.09908930843834174 -4.128806048696653 0.8714313436969574 4.310426046435786 0.37944832747662005 4.5954077100841495 0.8066995360833564 5.390204229469777 0.10424116682678708 -5.585874398436726 0.010453446753179385 6.184702718372712 -0.23053998091749772 6.805020853679828 0.15038752709980852
2 14 -1.0 N/A N/A
2 15 -1.0 N/A N/A
2 16 -1.0 N/A N/A
2 17 -1.0 N/A N/A
2 18 -1.0 N/A N/A
2 19 0.0 4.49307177327896 0.051760473042964605 -0.8637327810235229 2.749302496024832 -0.3459695763478319 3.7846800579527056 -0.7646434725851812 -4.077045575653688 0.007698562673434495 4.362186519478751 -0.48428445354690286 4.647168183127114 -0.05703324494016648 5.441964702512742 -0.7594916141967358 -5.534113925393761 -0.8532793342703435 6.236463191415677 -1.0942727619410206 6.856781326722793 -0.7133452539237144
2 20 -1.0 N/A N/A
2 21 -1.0 N/A N/A
2 22 -1.0 N/A N/A
2 23 -1.0 N/A N/A
2 24 -1.0 N/A N/A
2 25 -1.0 N/A N/A
2 26 -1.0 N/A N/A
2 27 -1.0 N/A N/A
2 28 -1.0 N/A N/A
2 29 -1.0 N/A N/A
2 30 -1.0 N/A N/A
3 1 -1.0 N/A N/A
3 2 -1.0 N/A N/A
3 3 -1.0 N/A N/A
3 4 -1.0 N/A N/A
3 5 -1.0 N/A N/A
3 6 -1.0 N/A N/A
3 7 -1.0 N/A N/A
3 8 -1.0 N/A N/A
3 9 -1.0 N/A N/A
3 10 -1.0 N/A N/A
3 11 -1.0 N/A N/A
3 12 -1.0 N/A N/A
3 13 1.2038966995207308 4.206083275353149 -0.4327816386495833 0.46670710781564484 2.20205947845211 0.3932154245969084 3.1892011688148223 0.0060306563162937366 4.067571880297248 -0.07159053889578093 -4.273353169060986 0.48504758539710124 4.511059408867435 0.5028526650451557 5.262652704566936 -0.11301316991504873 5.406655879558212 0.5108321685977799 -5.525364569326673 0.07512125104690437 6.868131127042524 0.15038752709980852
3 14 -1.0 N/A N/A
3 15 1.1843279805220643 4.205326031329053 -1.2520114002656868 -0.4099263343501969 -2.9968198285954024 -0.5972967525158372 -3.0992240145549985 0.04690956071958485 3.8405715304114025 -0.018340477581456405 -4.276328241350441 0.0191621787472096 4.273353169060986 -0.48504758539710124 -4.522508944981819 -0.589405628061777 -5.226209751896043 -0.6709139052840447 -5.856632779419439 -0.045598103939463286 6.475412647513096 -0.09183216080019285
3 16 -1.0 N/A N/A
3 17 -1.0 N/A N/A
3 18 -1.0 N/A N/A
3 19 0.9684684754437313 4.377447719069331 0.4327816386495833 -0.46670710781564484 2.6348411171016934 -0.07349168321873645 3.6219828074644056 -0.4606764514993511 -3.8405715304114025 0.018340477581456405 4.500353518946831 -0.5382976467114258 4.943841047517019 0.03614555722951085 -5.092582930677089 -0.39158585676874047 5.695434343216519 -0.5797202777306936 5.839437518207795 0.04412506078213507 -6.837391359006805 -0.5789562749343808
3 20 -1.0 N/A N/A
3 21 -1.0 N/A N/A
3 22 -1.0 N/A N/A
3 23 -1.0 N/A N/A
3 24 -1.0 N/A N/A
3 25 -1.0 N/A N/A
3 26 -1.0 N/A N/A
3 27 -1.0 N/A N/A
3 28 -1.0 N/A N/A
3 29 -1.0 N/A N/A
3 30 -1.0 N/A N/A
4 1 -1.0 N/A N/A
4 2 -1.0 N/A N/A
4 3 -1.0 N/A N/A
4 4 -1.0 N/A N/A
4 5 -1.0 N/A N/A
4 6 -1.0 N/A N/A
4 7 -1.0 N/A N/A
4 8 -1.0 N/A N/A
4 9 -1.0 N/A N/A
4 10 -1.0 N/A N/A
4 11 -1.0 N/A N/A
4 12 -1.0 N/A N/A
4 13 1.2038966995207363 3.9608657937240594 -0.4005781102696453 0.6600447375535374 1.7602724552160893 0.6181023613144312 2.781337794777329 0.5550449190156534 3.31751800569511 0.13523322323893616 3.7610055342652977 0.7096764271798728 -4.262134466804078 0.5760934716364048 5.181369114955949 0.24576422385450591 5.343855251418162 0.8353572022356772 -5.434371946859304 0.28194501318162146 6.643800447551133 0.2520666502123774
4 14 -1.0 N/A N/A
4 15 1.2290053865546162 4.24823768509413 -1.1722374800552267 -0.2941484584547833 -2.995538950661846 0.05670438457252125 -3.2055280641328885 -0.5132018210826823 3.8615563565344324 0.08395126591713264 4.262134466804078 -0.5760934716364048 -4.381676309278442 0.07522379166979842 -4.529938306860545 -0.49828133781000794 -5.866679331291021 -0.4554188089289175 -6.0186439615725895 0.18691370970911692 6.022406922020167 0.042008889678026407
4 16 -1.0 N/A N/A
4 17 -1.0 N/A N/A
4 18 -1.0 N/A N/A
4 19 1.3494789430096752 4.114582612103149 0.4005781102696453 -0.6600447375535374 2.1608505654857346 -0.04194237623910624 3.1819159050469743 -0.10499981853788398 3.718096115964755 -0.5248115143146013 -3.8615563565344324 -0.08395126591713264 4.161583644534943 0.04963168962633535 -5.033793836589659 -0.37809972437191597 5.581947225225594 -0.4142805136990315 5.744433361687808 0.1753124646821398 -6.857095307196278 -0.027246881344611396
4 20 -1.0 N/A N/A
4 21 -1.0 N/A N/A
